,query,predicted_mql,actual_iMQL_phrased,INDEX
41,"Cities with 20k+ discounts, March '22?","{'MEASURE': {'discounts': [{'ENTITY': 'Discount', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'March '22': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}","{'error_output': '{\n    ""MEASURE"": {\n        ""discounts"": [\n            {\n                ""ENTITY"": ""Discount"",\n                ""MEASURE CONSTRAINT"": [\n                    {\n                        ""COMPARISON VALUE"": ""20000"",\n                        ""COMPARISON OPERATOR"": ""+""\n                    }\n                ],\n                ""ADJECTIVE"": [],\n                ""TONE"": """"\n            }\n        ]\n    },\n    ""DIMENSION"": {\n        ""cities"": [\n            {\n                ""ENTITY"": ""City"",\n                ""RANK"": [],\n                ""ADJECTIVE"": [],\n                ""TONE"": """"\n            }\n        ]\n    },\n    ""FILTER"": {},\n    ""DERIVED MEASURE"": {},\n    ""DATE VARIABLE"": {\n        ""March \'22"": [\n            {\n                ""ENTITY"": ""Order Date"",\n                ""CONVERTED TIME ELEMENT"": ""March 2022""\n            }\n        ]\n    }\n}'}",41
42,March 2022 city discount share trend?,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DERIVED MEASURE': {'share': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}","{'DIMENSION': {'city': [{'ENTITY': 'City'}]}, 'DERIVED MEASURE': {'share': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}",42
43,"For 2 months, find discount %, shipping fees, and subcategory profits?","{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage'}], 'shipping fees': [{'ENTITY': 'Shipping Cost'}], 'subcategory profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'for 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}","{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage'}], 'shipping fees': [{'ENTITY': 'Shipping Cost'}]}, 'DIMENSION': {'subcategory': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}",43
44,Cities with the lowest discount share - which ones?,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City', 'RANK': [{'RANK ADJECTIVE': 'lowest', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'share': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}}","{'DIMENSION': {'Cities': [{'ENTITY': 'City', 'RANK': [{'RANK ADJECTIVE': 'lowest', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'discount share': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}}",44
45,03,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'03': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 3rd'}]}}",,45
46,"Lowest overall discount % for Haiti, Central Asia in 2","{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage'}]}, 'FILTER': {'southeast asia': [{'ENTITY': 'Southeast Asia', 'PARENT': 'Region'}], 'haiti': [{'ENTITY': 'Haiti', 'PARENT': 'Country'}], 'central asia': [{'ENTITY': 'Central Asia', 'PARENT': 'Region'}]}, 'DERIVED MEASURE': {'share': [{'ENTITY': 'ratio', 'RATIO FILTER': [{'haiti': 'Haiti'}, {'central asia': 'Central Asia'}], 'APPLIED MEASURE': [{'discount %': 'Discount percentage'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '0', 'COMPAR","{'FILTER': {'Central Asia': [{'ENTITY': 'Southeast Asia', 'PARENT': 'Region'}], 'Low': [{'ENTITY': 'Low', 'PARENT': 'Order Priority'}]}}",46
47,Which subcategories have >50k discount% in 60 days?,"{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '50k', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'60 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 60 days'}]}}","{'MEASURE': {'discount%': [{'ENTITY': 'Discount percentage', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '50k', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'subcategories': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'60 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 60 days'}]}}",47
48,Which products had lowest profit-sales correlation in Q1 previous year?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name', 'RANK': [{'RANK ADJECTIVE': 'lowest', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'correlation': [{'ENTITY': 'correlation', 'APPLIED MEASURE': [{'profits': 'Profit'}, {'sales': 'Sales'}]}]}, 'DATE VARIABLE': {'Q1 previous year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'q1 2020'}]}}","{'DIMENSION': {'products': [{'ENTITY': 'Product Name', 'RANK': [{'RANK ADJECTIVE': 'lowest', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'profit-sales correlation': [{'ENTITY': 'correlation', 'ADJECTIVE': ['lowest'], 'TONE': 'negative'}]}, 'DATE VARIABLE': {'Q1 previous year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last year quarter 1'}]}}",48
49,Ship mode % of total sales over 3 months?,"{'MEASURE': {'sale': [{'ENTITY': 'Sales'}]}, 'DIMENSION': {'ship mode': [{'ENTITY': 'Ship Mode'}]}, 'DERIVED MEASURE': {'%': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'sale': 'Sales'}]}]}, 'DATE VARIABLE': {'3 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 months'}]}}","{'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}, 'DIMENSION': {'ship mode': [{'ENTITY': 'Ship Mode'}]}, 'DERIVED MEASURE': {'%': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'sales': 'Sales'}]}]}, 'DATE VARIABLE': {'3 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 months'}]}}",49
50,2-month city/region discounts & quantities?,"{'MEASURE': {'discounts': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}], 'region': [{'ENTITY': 'Region'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}","{'MEASURE': {'discounts': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}]}, 'DIMENSION': {'region': [{'ENTITY': 'Region'}]}, 'DATE VARIABLE': {'2-month': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}",50
51,Kenya's sales in 15 days?,"{'MEASURE': {'sale': [{'ENTITY': 'Sales'}]}, 'DATE VARIABLE': {'15 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}]}}","{'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}, 'DATE VARIABLE': {'15 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}]}}",51
52,"Name cities with discount contributions exceeding 20,000","{'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DERIVED MEASURE': {'discount contributions': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20000', 'COMPARISON OPERATOR': '>'}]}]}}","{'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DERIVED MEASURE': {'contributions': [{'ENTITY': 'contribution_to_growth', 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20000', 'COMPARISON OPERATOR': '>'}]}]}}",52
53,Show customer IDs with yearly profit trends from the past 10 days,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'yearly trends': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across years'}], 'past 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}","{'MEASURE': {'profit': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer IDs': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'yearly profit trends': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across years'}], 'past 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}",53
54,"Bottom subcategories for discount %, excluding India & France?","{'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}}","{'DIMENSION': {'subcategories': [{'ENTITY': 'Sub-Category', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}}",54
55,Key factors driving discounts?,"{'DERIVED MEASURE': {'key drivers': [{'ENTITY': 'kda', 'APPLIED MEASURE': [{'discounts': 'Discount'}]}]}}","{'MEASURE': {'discounts': [{'ENTITY': 'Discount'}]}, 'DERIVED MEASURE': {'driving': [{'ENTITY': 'kda', 'APPLIED MEASURE': [{'discounts': 'Discount'}]}]}}",55
56,Yearly trend of envelope profits & discounts in past 10 days?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'FILTER': {'envelope': [{'ENTITY': 'Envelopes', 'PARENT': 'Sub-Category'}]}, 'DATE VARIABLE': {'yearly trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across years'}], 'past 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'FILTER': {'envelope': [{'ENTITY': 'Envelopes', 'PARENT': 'Sub-Category'}]}, 'DATE VARIABLE': {'Yearly trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across years'}], 'past 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}",56
57,"In the previous quarter, when was subcategory's discount % at its lowest?","{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage', 'ADJECTIVE': ['lowest'], 'TONE': 'negative'}]}, 'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'when': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}","{'DIMENSION': {'subcategory': [{'ENTITY': 'Sub-Category', 'RANK': [{'RANK ADJECTIVE': 'lowest', 'RANK VALUE': '1'}], 'ADJECTIVE': ['lowest'], 'TONE': 'negative'}]}, 'DATE VARIABLE': {'previous quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}",57
58,What caused Haiti's discount % to change in the past 10 months?,"{'DERIVED MEASURE': {'changed': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discount %': 'Discount percentage'}]}]}, 'DATE VARIABLE': {'10 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 months'}]}}","{'DERIVED MEASURE': {'cause of': [{'ENTITY': 'why'}], 'change': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discount percentage': 'Discount percentage'}]}]}, 'DATE VARIABLE': {'past 10 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 months'}]}}",58
59,What's the 3-month sales total?,"{'MEASURE': {'sale': [{'ENTITY': 'Sales'}]}, 'DATE VARIABLE': {'3-month sales total': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 months'}]}}","{'MEASURE': {'3-month sales': [{'ENTITY': 'Sales'}]}, 'DATE VARIABLE': {'3-month': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 months'}]}}",59
60,What factors determine discount % for guinea & furnishing?,"{'FILTER': {'furnishing': [{'ENTITY': 'Furnishings', 'PARENT': 'Sub-Category'}]}, 'DERIVED MEASURE': {'key drivers': [{'ENTITY': 'kda', 'APPLIED MEASURE': [{'discount %': 'Discount percentage'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARISON OPERATOR': ''}]}]}}","{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage'}]}, 'FILTER': {'furnishing': [{'ENTITY': 'Furnishings', 'PARENT': 'Sub-Category'}]}, 'DERIVED MEASURE': {'factors': [{'ENTITY': 'why'}]}}",60
61,2-month profit growth rate trend?,"{'DERIVED MEASURE': {'profits growth rate': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'2-month trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}","{'DERIVED MEASURE': {'growth rate': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'n-gram matched to MEASURE': 'profit', 'ENTITY': 'Profit'}]}]}, 'DATE VARIABLE': {'2-month': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}], 'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across days'}]}}",61
62,Subcategory list?,{'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category'}]}},{'DIMENSION': {'subcategory': [{'ENTITY': 'Sub-Category'}]}},62
63,Ship mode sales growth contribution in 3 months?,"{'DIMENSION': {'ship mode': [{'ENTITY': 'Ship Mode'}]}, 'DERIVED MEASURE': {'growth contribution': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'sale': 'Sales'}]}]}, 'DATE VARIABLE': {'3 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 months'}]}}","{'DIMENSION': {'ship mode': [{'ENTITY': 'Ship Mode'}]}, 'DERIVED MEASURE': {'sales growth': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'sales': 'Sales'}]}], 'contribution': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'sales': 'Sales'}]}]}, 'DATE VARIABLE': {'3 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 months'}]}}",63
64,Monthly discount growth rate for Mar 2022?,"{'DERIVED MEASURE': {'monthly discount growth rate': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'mar 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}","{'DERIVED MEASURE': {'discount growth rate': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'Mar 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}], 'Monthly': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across months'}]}}",64
65,What drives sales in Kenya and S,"{'DERIVED MEASURE': {'key driver': [{'ENTITY': 'kda', 'APPLIED MEASURE': [{'sale': 'Sales'}]}]}}","{'DERIVED MEASURE': {'drives': [{'ENTITY': 'kda', 'APPLIED MEASURE': [{'sales': 'Sales'}]}]}}",65
66,3-year trend of envelope shares & Thailand basis profits?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'FILTER': {'envelopes': [{'ENTITY': 'Envelopes', 'PARENT': 'Sub-Category'}], 'thailand': [{'ENTITY': 'Southeast Asia', 'PARENT': 'Region'}]}, 'DERIVED MEASURE': {'share': [{'ENTITY': 'ratio', 'RATIO FILTER': [{'envelopes': 'Envelopes'}], 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': '3 years'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'FILTER': {'envelope': [{'ENTITY': 'Envelopes', 'PARENT': 'Sub-Category'}], 'Thailand': [{'ENTITY': 'Southeast Asia', 'PARENT': 'Region'}]}, 'DERIVED MEASURE': {'shares': [{'ENTITY': 'ratio', 'RATIO FILTER': [{'envelope': 'Envelopes'}], 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'3-year trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 years'}]}}",66
67,Profits for bottom product in Q1 last year?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}, 'DATE VARIABLE': {'Q1 last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'product': [{'ENTITY': 'Product Name', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}, 'DATE VARIABLE': {'Q1 last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}",67
68,Guinea & furnishing discount % and shipping cost yearly trend in past quarter?,"{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage'}], 'shipping cost': [{'ENTITY': 'Shipping Cost'}]}, 'FILTER': {'furnishing': [{'ENTITY': 'Furnishings', 'PARENT': 'Sub-Category'}]}, 'DATE VARIABLE': {'yearly trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across years'}], 'past quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}","{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage'}], 'shipping cost': [{'ENTITY': 'Shipping Cost'}]}, 'FILTER': {'furnishing': [{'ENTITY': 'Furnishings', 'PARENT': 'Sub-Category'}]}, 'DERIVED MEASURE': {'percent': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount %': 'Discount percentage'}]}]}, 'DATE VARIABLE': {'yearly trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across years'}], 'past quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}",68
69,"El Salvador and South Sudan profits, what's their correlation?","{'DERIVED MEASURE': {'correlation': [{'ENTITY': 'correlation', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DERIVED MEASURE': {'correlation': [{'ENTITY': 'correlation', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}}",69
70,Why did Burundi's discount switch up in 03,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DERIVED MEASURE': {'why': [{'ENTITY': 'why'}], 'changed': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'03': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}","{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DERIVED MEASURE': {'why': [{'ENTITY': 'why'}]}, 'DATE VARIABLE': {'03': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March'}]}}",70
71,Subcategory-wise discount % and shipping fees in prev,"{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage'}], 'shipping fees': [{'ENTITY': 'Shipping Cost'}]}, 'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'prev': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 7 days'}]}}","{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage'}], 'shipping fees': [{'ENTITY': 'Shipping Cost'}]}, 'DIMENSION': {'Subcategory-wise': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'prev': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last period'}]}}",71
72,Lowest profit date?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'when': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'lowest'}]}}","{'MEASURE': {'profit': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'date': [{'ENTITY': 'Order Date'}]}}",72
73,Which countries led in growth contribution to total discount % in 2,"{'DIMENSION': {'countries': [{'ENTITY': 'Country', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'growth contribution': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'discount %': 'Discount percentage'}]}]}, 'DATE VARIABLE': {'2': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 days'}]}}","{'DIMENSION': {'countries': [{'ENTITY': 'Country', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '1'}], 'ADJECTIVE': ['led'], 'TONE': 'positive'}]}, 'DERIVED MEASURE': {'growth contribution': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'discount %': 'Discount percentage'}]}]}, 'DATE VARIABLE': {'in 2': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'in 2002'}]}}",73
74,How have customer ID profits grown over the last 10 days?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer ID': [{'ENTITY': 'Customer ID'}]}, 'DERIVED MEASURE': {'growth': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer ID': [{'ENTITY': 'Customer ID'}]}, 'DERIVED MEASURE': {'grown': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}",74
75,Lowest subcategory by guinea-furnishing discount ratio in 2 months?,"{'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category', 'RANK': [{'RANK ADJECTIVE': 'lowest', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'discount ratio': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'discount percentage'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARISON OPERATOR': ''}]}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}","{'DIMENSION': {'subcategory': [{'ENTITY': 'Sub-Category', 'RANK': [{'RANK ADJECTIVE': 'lowest', 'RANK VALUE': '1'}], 'TONE': 'negative'}]}, 'DERIVED MEASURE': {'discount ratio': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}",75
76,Which product had the lowest profits in ship mode over 2 months?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'ADJECTIVE': ['lowest'], 'TONE': 'negative'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'ADJECTIVE': ['lowest'], 'TONE': 'negative'}]}, 'DIMENSION': {'product': [{'ENTITY': 'Product Name', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}], 'ship mode': [{'ENTITY': 'Ship Mode'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}",76
77,When did guinea have the smallest discount percentage?,"{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DATE VARIABLE': {'when': [{'ENTITY': 'Order Date'}]}}",{'DATE VARIABLE': {'when': [{'ENTITY': 'Order Date'}]}},77
78,"Bottom product with profits above 10,000 in Q1 last year?","{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '10000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}, 'DATE VARIABLE': {'Q1 last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '10000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'product': [{'ENTITY': 'Product Name', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}, 'DATE VARIABLE': {'Q1 last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}",78
79,Which product had the least profit in 2 months?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'ADJECTIVE': ['least'], 'TONE': 'negative'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}","{'MEASURE': {'profit': [{'ENTITY': 'Profit', 'ADJECTIVE': ['least'], 'TONE': 'negative'}]}, 'DIMENSION': {'product': [{'ENTITY': 'Product Name', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}",79
