query,predicted_mql
why sales changed in last quarter of 2022,"{'DATE VARIABLE': {'last quarter of 2022': [{'CONVERTED TIME ELEMENT': 'last quarter of 2022', 'DATE RANGE': '2022/10/01 - 2022/12/31', 'ENTITY': 'Order Date'}]}, 'DERIVED MEASURE': {'why': [{'ENTITY': 'Why'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
what will be sales of phone in next quarter,"{'DATE VARIABLE': {'next quarter': [{'CONVERTED TIME ELEMENT': 'next quarter', 'DATE RANGE': '2023/10/01 - 2023/12/31', 'ENTITY': 'Order Date'}]}, 'FILTER': {'phone': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
what was sales of phone in previous quarter,"{'DATE VARIABLE': {'previous quarter': [{'CONVERTED TIME ELEMENT': ' previous quarter', 'DATE RANGE': '2023/04/01 - 2023/06/31', 'ENTITY': 'Order Date'}]}, 'FILTER': {'phone': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
Sales in FY 2022,"{'DATE VARIABLE': {'FY 2022': [{'CONVERTED TIME ELEMENT': 'Financial year 2022', 'DATE RANGE': '2022/04/01 - 2023/03/31', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
Sales in FY 2021,"{'DATE VARIABLE': {'FY 2021': [{'CONVERTED TIME ELEMENT': 'Financial year 2021', 'DATE RANGE': '2021/04/01 - 2022/03/31', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
what is sales 1 year ago,"{'DATE VARIABLE': {'1 years ago': [{'CONVERTED TIME ELEMENT': '1 years ago', 'DATE RANGE': '2022/09/15-2022/09/15', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
what is sales 2.5 year ago,"{'DATE VARIABLE': {'2.5 years ago': [{'CONVERTED TIME ELEMENT': '2.5 years ago', 'DATE RANGE': '2021/03/15-2021/03/15', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
what is sales 3 years ago,"{'DATE VARIABLE': {'3 years ago': [{'CONVERTED TIME ELEMENT': '3 years ago', 'DATE RANGE': '2020/09/15-2020/09/15', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
profit of binders in current week,"{'DATE VARIABLE': {'last week': [{'CONVERTED TIME ELEMENT': 'last week', 'DATE RANGE': '2023/09/08-2023/09/15', 'ENTITY': 'Order Date'}]}, 'FILTER': {'binders': [{'ENTITY': 'Binder', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'profit': [{'ENTITY': 'Sales'}]}}"
profit of binders 2 weeks ago,"{'DATE VARIABLE': {'2 weeks ago': [{'CONVERTED TIME ELEMENT': '2 weeks ago', 'DATE RANGE': '2023/09/01-2023/09/01', 'ENTITY': 'Order Date'}]}, 'FILTER': {'binders': [{'ENTITY': 'Binder', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'profit': [{'ENTITY': 'Sales'}]}}"
profit of binders in last week,"{'DATE VARIABLE': {'last week': [{'CONVERTED TIME ELEMENT': 'last week', 'DATE RANGE': '2023/09/08-2023/09/15', 'ENTITY': 'Order Date'}]}, 'FILTER': {'binders': [{'ENTITY': 'Binder', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'profit': [{'ENTITY': 'Sales'}]}}"
why sales changed in last 3 weeks of oct 2022,"{'DATE VARIABLE': {' last 3 weeks of oct 2022': [{'CONVERTED TIME ELEMENT': ' last 3 weeks of october, 2022', 'DATE RANGE': '2022/10/09-2022/10/30', 'ENTITY': 'Order Date'}]}, 'DERIVED MEASURE': {'why': [{'ENTITY': 'Why'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
why sales changed in first 3 weeks of Mar 2022,"{'DATE VARIABLE': {'first 3 weeks of Mar 2022': [{'CONVERTED TIME ELEMENT': 'first 3 weeks of March, 2022', 'DATE RANGE': '2022/03/01 - 2022/03/21', 'ENTITY': 'Order Date'}]}, 'DERIVED MEASURE': {'why': [{'ENTITY': 'Why'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
why sales changed in last week of Apr 2021,"{'DATE VARIABLE': {'last week of Apr 2021': [{'CONVERTED TIME ELEMENT': 'last week of April, 2021', 'DATE RANGE': '2021/04/24-2021/04/30', 'ENTITY': 'Order Date'}]}, 'DERIVED MEASURE': {'why': [{'ENTITY': 'Why'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales in the rolling year,"{'DATE VARIABLE': {'rolling year': [{'CONVERTED TIME ELEMENT': 'year', 'DATE RANGE': '2022/09/16 - 2023/09/15', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
why sales changed in 3rd week of May 2022,"{'DATE VARIABLE': {'3rd week of May 2022': [{'CONVERTED TIME ELEMENT': '3rd week of May, 2022', 'DATE RANGE': '2022/05/16 - 2022/05/22', 'ENTITY': 'Order Date'}]}, 'DERIVED MEASURE': {'why': [{'ENTITY': 'Why'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
why sales changed in 3rd week of last month,"{'DATE VARIABLE': {'3rd week of last month': [{'CONVERTED TIME ELEMENT': '3rd week of last month', 'DATE RANGE': '2023/08/16-2023/08/22', 'ENTITY': 'Order Date'}]}, 'DERIVED MEASURE': {'why': [{'ENTITY': 'Why'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
why sales changed in 2nd week of previous month,"{'DATE VARIABLE': {'2nd week of previous month': [{'CONVERTED TIME ELEMENT': '2nd week of previous month', 'DATE RANGE': '2023/08/08 - 2023/08/15', 'ENTITY': 'Order Date'}]}, 'DERIVED MEASURE': {'why': [{'ENTITY': 'Why'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
what will be sales in 2nd week of next month,"{'DATE VARIABLE': {'2nd week of next month': [{'CONVERTED TIME ELEMENT': '2nd week of next month', 'DATE RANGE': '2023/10/08 - 2023/10/15', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
Sales in 2nd last year,"{'DATE VARIABLE': {'2nd last year': [{'CONVERTED TIME ELEMENT': ' 2nd last year', 'DATE RANGE': '2021/01/01 - 2021/12/31', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales in last to last year,"{'DATE VARIABLE': {'last to last year': [{'CONVERTED TIME ELEMENT': ' last to last year', 'DATE RANGE': '2021/01/01 - 2021/12/31', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales in last to last month,"{'DATE VARIABLE': {'last to last month': [{'CONVERTED TIME ELEMENT': ' last to last month', 'DATE RANGE': '2023/07/01 - 2023/07/31', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales in second last month,"{'DATE VARIABLE': {' second last month': [{'CONVERTED TIME ELEMENT': ' second last month', 'DATE RANGE': '2023/07/01-2023/07/31', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales in 12.04.23,"{'DATE VARIABLE': {'12.04.23': [{'CONVERTED TIME ELEMENT': '12 april, 2023', 'DATE RANGE': '2023/04/12 - 2023/04/12', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
